"names","budgets","years","currencies"
"What the Daisy Said",NA,"1910",NA
"The Baron",NA,"1911",NA
"The Battle",NA,"1911",NA
"The Blind Princess and the Poet",NA,"1911",NA
"The Broken Cross",NA,"1911",NA
"The Chief's Daughter",NA,"1911",NA
"A Christmas Carol",NA,"1910",NA
"Cinderella",NA,"1912",NA
"A Country Cupid",NA,"1911",NA
"The Diving Girl",NA,"1911",NA
"The Dream",NA,"1911",NA
"Enoch Arden: Part I",NA,"1911",NA
"Enoch Arden: Part II",NA,"1911",NA
"Fate's Turning",NA,"1911",NA
"Fisher Folks",NA,"1911",NA
"Heart Beats of Long Ago",NA,"1911",NA
"Henry VIII",NA,"1911",NA
"Her Awakening",NA,"1911",NA
"His Daughter",NA,"1911",NA
"His Mother's Scarf",NA,"1911",NA
"His Trust: The Faithful Devotion and Self-Sacrifice of an Old Negro Servant",NA,"1911",NA
"His Trust Fulfilled",NA,"1911",NA
"How She Triumphed",NA,"1911",NA
"In the Days of '49",NA,"1911",NA
"The Last Drop of Water",NA,"1911",NA
"The Lily of the Tenements",NA,"1911",NA
"The Lonedale Operator",NA,"1911",NA
"The Making of a Man",NA,"1911",NA
"The Miser's Heart",NA,"1911",NA
"Les misérables - Époque 1: Jean Valjean",50000,"1913","FRF"
"Out from the Shadow",NA,"1911",NA
"The Rose of Kentucky",NA,"1911",NA
"Saved from Himself",NA,"1911",NA
"The Squaw's Love",NA,"1911",NA
"Sunshine Through the Dark",NA,"1911",NA
"Swords and Hearts",NA,"1911",NA
"Through His Wife's Picture",NA,"1911",NA
"The Two Orphans",NA,"1911",NA
"The Two Paths",NA,"1911",NA
"The Unveiling",NA,"1911",NA
"A Victim of Circumstances",NA,"1911",NA
"What Shall We Do with Our Old?",NA,"1911",NA
"Why He Gave Up",NA,"1911",NA
"A Wreath of Orange Blossoms",NA,"1911",NA
"Les amours de la reine Élisabeth",47500,"1912","USD"
"At Coney Island",NA,"1912",NA
"A Blot on the 'Scutcheon",NA,"1912",NA
"The Brave Hunter",NA,"1912",NA
"The Burglar's Dilemma",NA,"1912",NA
"A Child's Remorse",NA,"1912",NA
"Children Who Labor",NA,"1912",NA
"Cleopatra",45000,"1912","USD"
"À la conquête du pôle",NA,"1912",NA
"A Dash Through the Clouds",NA,"1912",NA
"The Engagement Ring",NA,"1912",NA
"The Eternal Mother",NA,"1912",NA
"The Fatal Chocolate",NA,"1912",NA
"The Female of the Species",NA,"1912",NA
"The Fickle Spaniard",NA,"1912",NA
"For His Son",NA,"1912",NA
"From the Manger to the Cross; or, Jesus of Nazareth",NA,"1912",NA
"The Furs",NA,"1912",NA
"The Girl and Her Trust",NA,"1912",NA
"He Must Have a Wife",NA,"1912",NA
"Helen's Marriage",NA,"1912",NA
"Help! Help!",NA,"1912",NA
"Hot Stuff",NA,"1912",NA
"The Informer",NA,"1912",NA
"An Interrupted Elopement",NA,"1912",NA
"Katchem Kate",NA,"1912",NA
"Lady Audley's Secret",NA,"1912",NA
"The Lesser Evil",NA,"1912",NA
"Life of Villa",NA,"1912",NA
"The Massacre",NA,"1912",NA
"The Mender of Nets",NA,"1912",NA
"Mor och dotter",NA,"1912",NA
"Mr. Grouch at the Seashore",NA,"1912",NA
"The Musketeers of Pig Alley",NA,"1912",NA
"My Baby",NA,"1912",NA
"The Narrow Road",NA,"1912",NA
"Neighbors",NA,"1912",NA
"The New York Hat",NA,"1912",NA
"Oh, Those Eyes",NA,"1912",NA
"The Old Actor",NA,"1912",NA
"One Is Business, the Other Crime",NA,"1912",NA
"The Painted Lady",NA,"1912",NA
"A Pueblo Legend",NA,"1912",NA
"Quo Vadis?",45000,"1913","ITL"
"Independenta Romaniei",4e+05,"1912","ROL"
"Richard III",30000,"1912","USD"
"A Spanish Dilemma",NA,"1912",NA
"The Star of Bethlehem",8000,"1912","USD"
"A String of Pearls",NA,"1912",NA
"The Sunbeam",NA,"1912",NA
"A Tale of the Wilderness",NA,"1912",NA
"Tomboy Bessie",NA,"1912",NA
"Der Totentanz",NA,"1912",NA
"The Tourists",NA,"1912",NA
"Tragedy of the Dress Suit",NA,"1912",NA
"Trädgårdsmästaren",NA,"1912",NA
"Den tyranniske fästmannen",NA,"1912",NA
"An Unseen Enemy",NA,"1912",NA
"The Water Nymph",NA,"1912",NA
"What the Doctor Ordered",NA,"1912",NA
"The Abandoned Well",NA,"1913",NA
"Almost an Actress",NA,"1913",NA
"The Anarchist",NA,"1913",NA
"Back to Life",NA,"1913",NA
"A Bandit",NA,"1913",NA
"Barnet",NA,"1913",NA
"Black and White",NA,"1913",NA
"The Blood Red Tape of Charity",NA,"1913",NA
"Bloodhounds of the North",NA,"1913",NA
"Bröderna",NA,"1914",NA
"Death's Marathon",NA,"1913",NA
"An Elephant on His Hands",NA,"1913",NA
"Evangeline",NA,"1914",NA
"Fatty Joins the Force",NA,"1913",NA
"The Gangsters",NA,"1913",NA
"Gränsfolken",NA,"1913",NA
"Help! Help! Hydrophobia!",NA,"1913",NA
"Her Mother's Oath",NA,"1913",NA
"A House Divided",NA,"1913",NA
"The House of Darkness",NA,"1913",NA
"How Men Propose",NA,"1913",NA
"In the Bishop's Carriage",NA,"1913",NA
"Kri Kri e il tango",NA,"1913",NA
"Love in an Apartment Hotel",NA,"1913",NA
"Mabel's Awful Mistake",NA,"1913",NA
"Mabel's Stormy Love Affair",NA,"1914",NA
"Mannekängen",NA,"1913",NA
"The Powder Flash of Death",NA,"1913",NA
"Den moderna suffragetten",NA,"1913",NA
"The Mothering Heart",NA,"1913",NA
"När kärleken dödar",NA,"1913",NA
"Oil and Water",NA,"1913",NA
"Den okända",NA,"1913",NA
"Olaf-An Atom",NA,"1913",NA
"Passions, He Had Three",NA,"1913",NA
"Peeping Pete",NA,"1913",NA
"Poor Jake's Demise",NA,"1913",NA
"The Prisoner of Zenda",50000,"1913","USD"
"På livets ödesvägar",NA,"1913",NA
"Red Margaret, Moonshiner",NA,"1913",NA
"Die schwarze Kugel oder Die geheimnisvollen Schwestern",NA,"1913",NA
"The Sea Urchin",NA,"1913",NA
"Shadows of the Moulin Rouge",NA,"1913",NA
"The Sheriff's Baby",NA,"1913",NA
"Shon the Piper",NA,"1913",NA
"Der Student von Prag",NA,"1913",NA
"Suspense",NA,"1913",NA
"The Telephone Girl and the Lady",NA,"1913",NA
"The Tender Hearted Boy",NA,"1913",NA
"The Third Degree",NA,"1913",NA
"Three Friends",NA,"1913",NA
"Traffic in Souls",5700,"1913","USD"
"The Trap",NA,"1913",NA
"Two Men of the Desert",NA,"1913",NA
"Vampyren",NA,"1913",NA
"Eine venezianische Nacht",NA,"1914",NA
"Der Verführte",NA,"1913",NA
"The Waiters' Picnic",NA,"1913",NA
"The Wanderer",NA,"1913",NA
"När larmklockan ljuder",NA,"1913",NA
"The Wreck",NA,"1913",NA
"'Round the World in 80 Days",NA,"1914",NA
"Bandits of the Border Mine",NA,"1914",NA
"The Bargain",NA,"1914",NA
"The Battle of Elderbush Gulch",NA,"1913",NA
"The Battle of the Sexes",25000,"1914","USD"
"The Boundary Rider",NA,"1914",NA
"A Busy Day",NA,"1914",NA
"Bánk bán",NA,"1915",NA
"Cabiria",210000,"1914","USD"
"The Call of the North",16541,"1914","USD"
"Caught in a Cabaret",NA,"1914",NA
"Kammarjunkaren",NA,"1914",NA
"Classmates",NA,"1914",NA
"Cruel, Cruel Love",NA,"1914",NA
"Discord and Harmony",NA,"1914",NA
"Dough and Dynamite",NA,"1914",NA
"The Embezzler",NA,"1914",NA
"The End of the Feud",NA,"1914",NA
"A Fair Rebel",NA,"1914",NA
"The Fatal Mallet",NA,"1914",NA
"A Flirt's Mistake",NA,"1914",NA
"A Good Little Devil",NA,"1914",NA
"Hearts and Clubs",NA,"1915",NA
"Hearts and Diamonds",NA,"1914",NA
"His Hour of Manhood",NA,"1914",NA
"His Majesty, the Scarecrow of Oz",23500,"1914","USD"
"The Honor of the Mounted",NA,"1914",NA
"Hypocrites",NA,"1915",NA
"Högfjällets dotter",7501,"1914","SEK"
"In the Land of the Head Hunters",NA,"1914",NA
"In the Sage Brush Country",NA,"1914",NA
"The Indian Wars",NA,"1914",NA
"Jim Cameron's Wife",NA,"1914",NA
"Judith of Bethulia",40000,"1914","USD"
"The Jungle",17000,"1914","USD"
"The Key to Yesterday",NA,"1914",NA
"Kid Auto Races at Venice",NA,"1914",NA
"The Knockout",NA,"1914",NA
"Lache Bajazzo",NA,"1915",NA
"The Lamb, the Woman, the Wolf",NA,"1914",NA
"Lena Rivers",NA,"1914",NA
"The Lie",NA,"1914",NA
"The Life of General Villa",NA,"1914",NA
"Lola",NA,"1914",NA
"Lord Chumley",NA,"1914",NA
"Love Never Dies",NA,"1916",NA
"Mabel's Busy Day",NA,"1914",NA
"Making a Living",NA,"1914",NA
"The Man from Home",14222,"1914","USD"
"Man of the Hour",NA,"1914",NA
"The Masquerader",NA,"1914",NA
"The Menace to Carlotta",NA,"1914",NA
"Michael Strogoff",NA,"1914",NA
"The Million Dollar Mystery",125000,"1914","USD"
"Der Excentric-Club",NA,"1914",NA
"Mother",NA,"1914",NA
"Mrs. Wiggs of the Cabbage Patch",NA,"1914",NA
"Los muertos hablan",NA,"1915",NA
"The Mysterious Rose",NA,"1914",NA
"The Ocean Waif",NA,"1916",NA
"The Only Son",NA,"1914",NA
"The Patchwork Girl of Oz",NA,"1914",NA
"The Path Forbidden",NA,"1914",NA
"The Perils of Pauline",25000,"1914","USD"
"The Power of the Press",NA,"1914",NA
"Remember Mary Magdalen",NA,"1914",NA
"Richelieu",NA,"1914",NA
"A Romance of the Mexican Revolution",NA,"1914",NA
"Rose of the Rancho",16988,"1914","USD"
"The Rounders",NA,"1914",NA
"A Rural Demon",NA,"1914",NA
"Det röda tornet",NA,"1915",NA
"Ein seltsamer Fall",NA,"1914",NA
"Shadows of the Past",NA,"1914",NA
"Skottet",NA,"1914",NA
"A Small Town Girl",NA,"1915",NA
"The Spoilers",NA,"1914",NA
"The Squaw Man",20000,"1914","USD"
"Stormfågeln",19570,"1914","SEK"
"Stuart Webbs: Der Mann im Keller",NA,"1914",NA
"A Study in Scarlet",NA,"1914",NA
"Tess of the Storm Country",10000,"1914","USD"
"Through Fire to Fortune",NA,"1914",NA
"Tillie's Punctured Romance",50000,"1914","USD"
"A tolonc",NA,"1915",NA
"The Tragedy of Whispering Creek",NA,"1914",NA
"The Traitor",NA,"1914",NA
"Twenty Minutes of Love",NA,"1914",NA
"The Unlawful Trade",NA,"1914",NA
"Uriel Acosta",NA,"1914",NA
"The Virginian",17022,"1914","USD"
"The Walls of Jericho",NA,"1914",NA
"The War of the World",NA,"1914",NA
"What's His Name",12234,"1914","USD"
"Where the Trail Divides",NA,"1914",NA
"The Wife",NA,"1914",NA
"The Wishing Ring: An Idyll of Old England",NA,"1914",NA
"The World, the Flesh and the Devil",10000,"1914","GBP"
"The Yellow Traffic",NA,"1914",NA
"The Adventures of a Boy Scout",NA,"1915",NA
"After Dark",NA,"1915",NA
"Alas and Alack",NA,"1915",NA
"An All Around Mistake",NA,"1915",NA
"All for Peggy",NA,"1915",NA
"Almost a King",NA,"1915",NA
"Almost a Papa",NA,"1915",NA
"Anna Karenina",NA,"1915",NA
"The Arab",18328,"1915","USD"
"An Arrangement with Fate",NA,"1915",NA
"The Bank",NA,"1915",NA
"Between Men",NA,"1915",NA
"The Birth of a Nation",1e+05,"1915","USD"
"A Black Sheep",NA,"1915",NA
"The Bribe",NA,"1915",NA
"Bughouse Bellhops",NA,"1915",NA
"By the Sea",NA,"1915",NA
"The Captive",12154,"1915","USD"
"Carmen",23430,"1915","USD"
"Cash Parrish's Pal",NA,"1915",NA
"Celeste",NA,"1915",NA
"The Champion",NA,"1915",NA
"Charley's Aunt",NA,"1925",NA
"A Burlesque on Carmen",NA,"1915",NA
"The Cheat",17311,"1915","USD"
"Children of the Ghetto",NA,"1915",NA
"Chimmie Fadden",10504,"1915","USD"
"Chimmie Fadden Out West",16070,"1915","USD"
"A Cigarette - That's All",NA,"1915",NA
"The City of Terrible Night",NA,"1915",NA
"The Closing Net",NA,"1915",NA
"The Conversion of Frosty Blake",NA,"1915",NA
"The Country Circus",NA,"1915",NA
"The Coward",18000,"1915","USD"
"Crime's Triangle",NA,"1915",NA
"Dolken",NA,"1916",NA
"A Daughter of the Nile",NA,"1915",NA
"The Dinosaur and the Missing Link: A Prehistoric Tragedy",5000,"1915","USD"
"The Disciple",8000,"1915","USD"
"Don Quixote",NA,"1915",NA
"The Doorway of Destruction",NA,"1915",NA
"A Double Deal in Pork",NA,"1915",NA
"Double Trouble",40500,"1915","USD"
"Dr. Rameau",NA,"1915",NA
"DuBarry",NA,"1915",NA
"East Lynne",NA,"1915",NA
"Enoch Arden",NA,"1915",NA
"Environment",NA,"1915",NA
"Fatherhood",NA,"1915",NA
"The Flaming Sword",NA,"1915",NA
"The Flash of an Emerald",NA,"1915",NA
"A Fool There Was",NA,"1915",NA
"The Fool and the Dancer",NA,"1915",NA
"A Foozle at the Tee Party",NA,"1915",NA
"For Cash",NA,"1915",NA
"The Foundling",NA,"1915",NA
"Fox Trot Finesse",NA,"1915",NA
"Fresh from the Farm",NA,"1915",NA
"The Galley Slave",NA,"1915",NA
"The Galloper",NA,"1915",NA
"The Gambler of the West",NA,"1915",NA
"Gambling Inside and Out",NA,"1915",NA
"Gilded Youth",NA,"1915",NA
"The Girl Who Had a Soul",NA,"1915",NA
"The Girl from His Town",NA,"1915",NA
"The Girl of the Golden West",15110,"1915","USD"
"The Girl of the Night",NA,"1915",NA
"Giving Them Fits",NA,"1915",NA
"Gladiola",NA,"1915",NA
"The Golden Chance",18711,"1915","USD"
"The Golden Spider",NA,"1915",NA
"Great While It Lasted",NA,"1915",NA
"The Green Cloak",NA,"1915",NA
"Hans bröllopsnatt",NA,"1916",NA
"Hearts Aflame",NA,"1915",NA
"Hearts of Men",NA,"1915",NA
"The Heights of Hazard",NA,"1915",NA
"Help Wanted",NA,"1915",NA
"Her Atonement",NA,"1915",NA
"His New Job",NA,"1915",NA
"The Honor of the Ormsbys",NA,"1915",NA
"In the Palace of the King",NA,"1915",NA
"In the Park",NA,"1915",NA
"Infatuation",NA,"1915",NA
"The Iron Strain",NA,"1915",NA
"The Italian",NA,"1915",NA
"Jeanne of the Woods",NA,"1915",NA
"Jewel",NA,"1915",NA
"A Jitney Elopement",NA,"1915",NA
"John Glayde's Honor",NA,"1915",NA
"Jordan Is a Hard Road",NA,"1915",NA
"Judy Forgot",NA,"1915",NA
"The Juggernaut",NA,"1915",NA
"Just Jim",NA,"1915",NA
"Keep Moving",NA,"1915",NA
"Keno Bates, Liar",NA,"1915",NA
"Kindling",10040,"1915","USD"
"Knight of the Trail",NA,"1915",NA
"Lady Audley's Secret",NA,"1915",NA
"The Lamb",41000,"1915","USD"
"Langdon's Legacy",NA,"1916",NA
"The Last of the Mafia",NA,"1915",NA
"A Life at Stake",NA,"1915",NA
"Life of Sam Davis: A Confederate Hero of the Sixties",NA,"1915",NA
"The Lily and the Rose",NA,"1915",NA
"A Little Brother of the Rich",NA,"1915",NA
"The Little White Violet",NA,"1915",NA
"The Lonesome Heart",NA,"1915",NA
"Lonesome Luke, Social Gangster",NA,"1915",NA
"The Long Chance",NA,"1915",NA
"Lord John in New York",NA,"1915",NA
"Love and a Savage",NA,"1915",NA
"Love's Pilgrimage to America",NA,"1916",NA
"Lydia Gilmore",NA,"1915",NA
"Mabel and Fatty Viewing the World's Fair at San Francisco",NA,"1915",NA
"Mabel and Fatty's Wash Day",NA,"1915",NA
"The Mad Maid of the Forest",NA,"1915",NA
"Madame de Thèbes",NA,"1915",NA
"The Man Who Found Himself",NA,"1915",NA
"The Man of Shame",NA,"1915",NA
"A Man's Making",NA,"1915",NA
"The Marriage of Kitty",NA,"1915",NA
"Marrying Money",NA,"1915",NA
"Marse Covington",NA,"1915",NA
"Martyrs of the Alamo",NA,"1915",NA
"Mary's Duke",NA,"1915",NA
"The Master of the House",NA,"1915",NA
"The Meddler",NA,"1915",NA
"The Millionaire Baby",NA,"1915",NA
"The Misleading Lady",NA,"1916",NA
"A Mixup for Mazie",NA,"1915",NA
"The Model",NA,"1915",NA
"The Money Master",NA,"1915",NA
"A Mother's Confession",NA,"1915",NA
"Mrs. Plum's Pudding",NA,"1915",NA
"The Mystery of Room 13",NA,"1915",NA
"Mästertjuven",NA,"1915",NA
"A Night Out",NA,"1915",NA
"A Night Out",NA,"1916",NA
"A Night in the Show",NA,"1915",NA
"När konstnärer älska",NA,"1915",NA
"The Old Homestead",NA,"1915",NA
"On the Night Stage",NA,"1915",NA
"La otra Carmen",NA,"1915",NA
"Over Night",NA,"1915",NA
"Stick Around",NA,"1925",NA
"Peculiar Patients' Pranks",NA,"1915",NA
"Peer Gynt",NA,"1915",NA
"The Penitentes",NA,"1915",NA
"The Pinch",NA,"1915",NA
"The Pine's Revenge",NA,"1915",NA
"Pinto Ben",NA,"1915",NA
"The Ploughshare",NA,"1915",NA
"Pool Sharks",NA,"1915",NA
"Poor Schmaltz",NA,"1915",NA
"The Pursuing Shadow",NA,"1915",NA
"The Quest",NA,"1915",NA
"Ragtime Snap Shots",NA,"1915",NA
"The Reform Candidate",NA,"1915",NA
"Regeneration",NA,"1915",NA
"The Rights of Man: A Story of War's Red Blotch",NA,"1915",NA
"The Ringtailed Rhinoceros",NA,"1915",NA
"The Road to Paradise",NA,"1915",NA
"The Roughneck",NA,"1915",NA
"The Rug Maker's Daughter",NA,"1915",NA
"The Running Fight",NA,"1915",NA
"The Ruse",NA,"1915",NA
"Ruses, Rhymes and Roughnecks",NA,"1915",NA
"Russian Battlefields",NA,"1915",NA
"The Rustle of a Skirt",NA,"1915",NA
"Sam Davis, the Hero of Tennessee",NA,"1915",NA
"Satan Sanderson",NA,"1915",NA
"Scandal",NA,"1915",NA
"Schlemihl",NA,"1915",NA
"The Devil's Bondman",NA,"1915",NA
"The Second in Command",NA,"1915",NA
"The Secretary of Frivolous Affairs",NA,"1915",NA
"The Sentimental Lady",NA,"1915",NA
"Shanghaied",NA,"1915",NA
"The Sheriff's Streak of Yellow",1122,"1915","USD"
"The Shooting of Dan McGrew",NA,"1915",NA
"The Shulamite",NA,"1915",NA
"Some Baby",NA,"1915",NA
"The Song of Hate",NA,"1915",NA
"The Soul of Broadway",NA,"1915",NA
"The Spendthrift",NA,"1915",NA
"Spit-Ball Sadie",NA,"1915",NA
"The Taking of Luke McVane",NA,"1915",NA
"The Taming of Mary",NA,"1915",NA
"Temptation",22472,"1915","USD"
"Terribly Stuck Up",NA,"1915",NA
"That Little Band of Gold",NA,"1915",NA
"Their Happy Honeymoon",NA,"1915",NA
"Three Bad Men and a Girl",NA,"1915",NA
"Tillie's Tomato Surprise",NA,"1915",NA
"Tinkering with Trouble",NA,"1915",NA
"Too Many Smiths",NA,"1915",NA
"The Tramp",NA,"1915",NA
"The Unafraid",14227,"1915","USD"
"The Unknown",NA,"1915",NA
"Wanted: A Leading Lady",NA,"1915",NA
"The Warrens of Virginia",28360,"1915","USD"
"The Water Clue",NA,"1915",NA
"Wheat and Tares: A Story of Two Boys Who Tackle Life on Diverging Lines",NA,"1915",NA
"When a Man's Fickle",NA,"1915",NA
"When a Queen Loved O'Rourke",NA,"1915",NA
"Where the Forest Ends",NA,"1915",NA
"The White Sister",NA,"1915",NA
"The Widow's Secret",NA,"1915",NA
"The Wild Goose Chase",10612,"1915","USD"
"Wished on Mabel",NA,"1915",NA
"A Witch of Salem Town",NA,"1915",NA
"The Wolf of Debt",NA,"1915",NA
"A Woman",NA,"1915",NA
"Work",NA,"1915",NA
"20,000 Leagues Under the Sea",2e+05,"1916","USD"
"According to the Code",NA,"1916",NA
"Acquitted",NA,"1916",NA
"Along the Malibu",NA,"1916",NA
"American Aristocracy",NA,"1916",NA
"The Americano",NA,"1916",NA
"The Apostle of Vengeance",16000,"1916","USD"
"Arthur's Desperate Resolve",NA,"1916",NA
"The Aryan",13500,"1916","USD"
"Hämnaren",NA,"1915",NA
"Balettprimadonnan",NA,"1916",NA
"Barriers of Society",NA,"1916",NA
"The Battle of Life",NA,"1916",NA
"Behind the Screen",NA,"1916",NA
"Behind the Veil",NA,"1916",NA
"The Belle of the Season",NA,"1917",NA
"Betty of Greystone",NA,"1916",NA
"Beyond the Trail",NA,"1916",NA
"Birds of a Feather",NA,"1917",NA
"Black Orchids",NA,"1917",NA
"Borrowed Plumes",NA,"1916",NA
"The Broken Spur",NA,"1916",NA
"Caprice of the Mountains",NA,"1916",NA
"Chicken-Hearted Jim",NA,"1916",NA
"A Child of Mystery",NA,"1916",NA
"The Circular Room",NA,"1916",NA
"Civilization",NA,"1915",NA
"The Closed Road",NA,"1916",NA
"The Code of His Ancestors",NA,"1916",NA
"The Committee on Credentials",NA,"1916",NA
"The Count",NA,"1916",NA
"The Crimson Yoke",NA,"1916",NA
"Daphne and the Pirate",NA,"1916",NA
"A Daughter of the Gods",1e+06,"1916","USD"
"The Dawn Maker",NA,"1916",NA
"Diane of the Follies",NA,"1916",NA
"The Dream Girl",13523,"1916","USD"
"Drugged Waters",NA,"1916",NA
"The Dumb Girl of Portici",NA,"1916",NA
"Dödskyssen",NA,"1916",NA
